"id","type_species","species","author","subspecies","common_name","higher_taxa","species_number","changes","description","created_at","updated_at"
11440,0,"Zygaspis violacea","(PETERS 1854)","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20119,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11439,0,"Zygaspis vandami","(FITZSIMONS 1930)","Zygaspis vandami vandami (FITZSIMONS 1930)
Zygaspis vandami arenicola BROADLEY & BROADLEY 1997","Van Dam’s Dwarf Worm Lizard
arenicola: Sand-dwelling Dwarf Worm Lizard","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20118,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11438,1,"Zygaspis quadrifrons","(PETERS 1862)","","E: Kalahari Dwarf Worm Lizard, Kalahari Round-snouted Worm Lizard","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20117,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11437,0,"Zygaspis nigra","BROADLEY & GANS 1969","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20116,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11436,0,"Zygaspis maraisi","BROADLEY & MEASEY 2016","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20757,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11435,0,"Zygaspis kafuensis","BROADLEY & BROADLEY 1997","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20115,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11434,0,"Zygaspis ferox","BROADLEY & BROADLEY 1997","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20114,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11433,0,"Zygaspis dolichomenta","WITTE & LAURENT 1942","","","Amphisbaenidae, Amphisbaenia, Lacertoidea, Squamata",20113,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11432,1,"Zootoca vivipara","(LICHTENSTEIN 1823)","Zootoca vivipara louislantzi ARRIBAS 2009
Zootoca vivipara pannonica (LAC & KLUCH 1968)
Zootoca vivipara vivipara (LICHTENSTEIN 1823)
Zootoca vivipara carniolica (MAYER, BÖHME, TIEDEMANN & BISCHOFF 2000)","E: Viviparous Lizard, European common lizard
G: Waldeidechse
Croatian: živorodna gušterica
Russian: Живородящая ящерица
Chinese: 胎蜥","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",20112,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
11431,0,"Zonosaurus tsingy","RASELIMANANA, RAXWORTHY & NUSSBAUM 2000","","","Gerrhosauridae (Zonosaurinae), Scincoidea, Sauria, Squamata (lizards)",20111,"",NULL,"2021-04-30 18:54:01","2021-04-30 18:54:01"
